index,game_title,game_size_gb,game_price_pln
50,"Forbidden Christ, The (Cristo proibito, Il)",122.7,172.98
51,Bachelor in Paradise,63.7,13.24
52,"Hand of Peace: Pope Pius XII and the Holocaust, A",122.8,288.64
53,The Big Bus,106.6,54.3
54,Theodora Goes Wild,216.0,12.02
55,Anything Goes,126.9,329.78
56,R100,183.8,329.11
57,Right at Your Door,11.6,36.71
58,"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",197.8,374.33
59,Scavenger Hunt,14.6,83.16
60,"Art of War III: Retribution, The",233.2,78.55
61,Take Me Home Tonight,113.3,79.58
62,"Royal Affair, A (Kongelig affære, En)",18.7,335.67
63,Happy Campers,151.7,19.88
64,Meatballs,179.9,42.9
65,"Glass Menagerie, The",204.8,125.1
66,"Dark Half, The",11.4,341.82
67,"Sorcerer and the White Snake, The (Bai she chuan shuo)",170.6,92.55
68,"Debut, The",211.5,299.8
69,Invaders from Mars,221.9,390.76
70,100 Feet,126.3,117.31
71,North Shore,118.5,264.48
72,"Bullfighter, The (Matador)",214.7,175.57
73,"St. Valentine's Day Massacre, The",30.4,293.77
74,2001: A Space Odyssey,30.8,95.64
75,Sun Alley (Sonnenallee),174.9,285.59
76,Arsène Lupin Returns,237.9,29.63
77,Firewall,187.9,349.64
78,"Boys of St. Vincent, The",143.8,162.12
79,Oxy-Morons,222.9,288.68
80,Pudana Last of the Line (Sukunsa viimeinen),128.6,172.05
81,"Munekata Sisters, The (Munekata kyôdai)",124.0,208.2
82,"Arrival, The",204.6,258.87
83,Hecho en México,146.8,397.42
84,"Dream Catcher, The",22.4,319.88
85,Tess of the Storm Country,187.2,34.8
86,At Five in the Afternoon (Panj é asr),65.4,351.78
87,Gnomeo & Juliet,35.2,37.78
88,Mother's Day,224.4,361.93
89,"Human Condition III, The (Ningen no joken III)",112.7,268.92
90,Skyscraper Souls,29.4,93.39
91,City of Ghosts,91.1,20.63
92,Sam's Song,187.3,138.6
93,Vice,164.4,114.31
94,Winnie the Pooh and the Honey Tree,47.6,317.96
95,"Hunting of the President, The",162.5,98.48
96,"Big Blue, The (Grand bleu, Le)",151.5,365.34
97,"Way, The",219.0,318.19
98,Rabbit-Proof Fence,96.0,354.15
99,Dick Tracy,22.4,101.78
100,Island at War,56.2,276.63
101,Whatever,14.9,195.51
102,He Loves Me... He Loves Me Not (À la folie... pas du tout),164.9,211.22
103,Mad Love,102.8,221.17
104,Villa Rides!,103.0,392.66
105,Eggs,185.8,78.43
106,Bad Santa,222.4,159.04
107,Trash,82.0,357.73
108,Superstar,71.3,97.5
109,Black & White & Sex,221.0,311.68
110,"Misérables, Les",82.9,105.93
111,"Boys in the Band, The",224.4,40.4
112,"Enforcer, The (Gei ba ba de xin)",228.4,11.42
113,My Beautiful Laundrette,126.8,120.17
114,Our Family Wedding,244.3,337.43
115,Cimarron,225.6,369.07
116,Sniper 2,145.9,56.51
117,Pretty Good for a Human (People Not as Bad as They Seem) (Aika hyvä ihmiseksi),104.7,148.1
118,Running Mates,51.0,242.97
119,Young Winston,237.5,287.77
120,Thunderbirds Are GO,31.2,78.38
121,Dawn of the Dead,219.2,105.39
122,Edmond,176.0,137.81
123,Titanic,117.5,259.24
124,Scrooged,90.4,38.4
125,Arthur,175.2,357.97
126,Bitter Victory,158.0,133.19
127,23 (23 - Nichts ist so wie es scheint),118.5,163.18
128,Pete Seeger: The Power of Song,75.0,347.51
129,Atrocious,176.6,381.47
130,Housebound,177.0,215.85
131,"Gravedancers, The",126.7,379.52
132,Cria! (Cría cuervos),150.5,224.07
133,"Boy Named Charlie Brown, A",116.5,312.33
134,Seeking a Friend for the End of the World,219.1,19.76
135,To the Devil a Daughter,72.8,100.45
136,Children of a Lesser God,36.6,379.93
137,"Other Dream Team, The",222.9,159.55
138,Evolver,217.1,19.15
139,Upside Down: The Creation Records Story,164.6,223.18
140,"Ambassador, The (Ambassadøren)",245.1,99.1
141,Beerfest,94.8,322.55
142,"Way Home, The (Jibeuro)",31.4,110.9
143,25 Watts,90.8,155.91
144,"Hitch Hikers Guide to the Galaxy, The",81.2,139.43
145,Jönssonligan på Mallorca,83.1,388.05
146,Beer,165.3,294.47
147,Saw VII 3D - The Final Chapter,18.1,172.55
148,Man on the Moon,110.3,147.54
149,Secretariat,55.9,39.08
150,Man on Wire,29.5,97.31
151,How They Get There,182.6,167.84
152,Effie Gray,157.6,282.28
153,Skin,179.3,131.44
154,Sudden Manhattan,224.8,115.61
155,Monsturd,211.7,315.52
156,Supergirl,219.9,30.05
157,"I Inside, The",46.3,76.44
158,Milagro Beanfield War,200.0,335.25
159,The Lumière Brothers' First Films,27.3,29.14
160,"Killings at Outpost Zeta, The",210.3,315.62
161,Groove,154.9,207.91
162,"Lonely Man, The",145.5,393.32
163,"Jungle Book of Regulations, A (Nie Ma Rozy Bez Ognia)",130.1,370.02
164,Nobody Knows (Dare mo shiranai),54.4,343.35
165,Alucarda,137.8,298.21
166,Date and Switch,225.8,251.6
167,"Hunt for Red October, The",119.7,100.25
168,"Blue and the Gray, The",186.5,399.58
169,Monsters vs Aliens: Mutant Pumpkins from Outer Space,162.0,177.3
170,London After Midnight,207.9,388.55
171,Proof,61.6,301.59
172,Mission Congo,97.2,84.38
173,Break-in,156.2,246.39
174,Sometime in August (Mitte Ende August),47.5,327.53
175,Life Back Then (Antoki no inochi),122.2,85.45
176,Jonathan Livingston Seagull,146.1,321.18
177,Werckmeister Harmonies (Werckmeister harmóniák),75.7,377.63
178,"Unforgiven, The",152.7,117.01
179,Behind Blue Skies (Himlen är oskyldigt blå),80.2,74.39
180,Kevin Smith: Too Fat For 40,146.0,302.35
181,96 Minutes ,210.3,42.45
182,Tristan & Isolde,115.2,335.68
183,"Larceny, Inc.",79.8,178.56
184,Big Buck Bunny,79.1,139.69
185,Beer for My Horses,230.6,323.14
186,300,227.1,399.24
187,Dog Days (Hundstage),115.8,77.47
188,Hot Shots! Part Deux,63.0,38.79
189,Bionicle: The Legend Reborn,159.8,333.62
190,The Reverse,74.6,392.37
191,Sam Peckinpah's West: Legacy of a Hollywood Renegade,49.9,281.84
192,Begotten,119.2,259.75
193,The War,27.0,245.58
194,"Heartbreak Kid, The",126.8,21.96
195,Train,93.5,109.21
196,Concrete Night (Betoniyö),175.3,342.32
197,"Doctor, The",202.1,138.53
198,3 Bad Men,210.8,318.7
199,Adulthood,214.7,153.77
200,Emmanuel's Gift,32.3,183.52
201,Pulling John,230.5,327.25
202,La nación clandestina,235.1,172.9
203,"Petrified Forest, The",191.9,61.32
204,Doctor at Large,216.6,220.54
205,Mail Early for Xmas,226.0,158.75
206,"Driver, The",105.5,117.81
207,Pathology,239.2,113.07
208,"Ay, Carmela! (¡Ay, Carmela!)",30.5,147.07
209,Barbarella,87.8,220.97
210,"He Said, She Said",22.1,222.49
211,La Soufrière - Warten auf eine unausweichliche Katastrophe,93.8,111.56
212,Zatoichi's Vengeance (Zatôichi no uta ga kikoeru) (Zatôichi 13),185.0,129.91
213,Hot Dog... The Movie,234.7,52.71
214,Race,70.4,144.86
215,Speak,183.6,307.0
216,Innocence,153.7,49.52
217,Once Upon a Time in Mexico,117.2,143.15
218,Fantomas Unleashed,95.2,89.99
219,Cabin Fever: Patient Zero,28.9,35.97
220,Sleepwalkers,153.6,305.66
221,Les modèles de 'Pickpocket',145.9,328.04
222,Regret to Inform,217.5,115.43
223,Prowl,244.3,163.82
224,Richard III,21.8,349.03
225,Two Years at Sea,43.0,366.83
226,Beautiful Creatures,203.8,173.79
227,Heavy Metal Parking Lot,160.1,210.73
228,Men of War,126.1,262.26
229,Death in Venice (Morte a Venezia),47.7,280.04
230,Oleanna,182.9,264.6
231,"Heirloom, The (Zhai Ban)",239.3,259.59
232,Bronies: The Extremely Unexpected Adult Fans of My Little Pony,80.1,323.94
233,Grudge Match,144.4,261.15
234,Boy Meets Girl,21.4,353.94
235,Savage Grace,49.1,215.19
236,Charlie Chan on Broadway,135.0,395.9
237,"Pact, The",43.1,302.75
238,More About the Children of Noisy Village (a.k.a. More About the Children of Bullerby Village) (Mer om oss barn i Bullerbyn),242.5,87.09
239,Manufactured Landscapes,68.0,124.48
240,People Like Us,103.1,44.5
241,Deathdream (a.k.a. Dead of Night),142.6,186.45
242,Arbitrage,187.0,279.05
243,Vegucated,58.8,68.68
244,Warrior,158.2,274.25
245,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",176.2,317.88
246,The Magnet,150.9,31.07
247,Army of Darkness,122.3,13.1
248,"Return of Dracula, The",31.7,241.32
249,Annapolis,85.0,329.92
250,Sun Kissed,70.1,12.04
251,How I Won the War,199.3,121.39
252,Goldfish Memory,29.3,70.85
253,3 dev adam (Three Giant Men) ,21.3,74.89
254,"Family Jewels, The",119.9,173.33
255,"Amish Murder, An",233.7,154.15
256,Wish You Were Here,68.1,277.82
257,Catacombs,230.1,24.44
258,Summer of the Monkeys,225.2,166.96
259,Looney Tunes: Back in Action,10.5,164.85
260,Last Hurrah for Chivalry (Hao xia),210.1,164.6
261,"Late Mathias Pascal, The (a.k.a. The Living Dead Man) (Feu Mathias Pascal)",56.6,352.73
262,Blue Steel,162.6,376.88
263,Drei Stunden,233.5,290.44
264,Once Upon a Time in the West (C'era una volta il West),122.9,260.19
265,"Perfect Score, The",67.0,270.04
266,"Dukes of Hazzard, The",75.4,370.74
267,Little Nicholas (Le petit Nicolas),181.5,222.81
268,Meatballs Part II,199.5,246.15
269,"Puffy Chair, The",73.3,366.4
270,"Son of the Sheik, The",100.1,397.15
271,The Ghost Story of Oiwa's Spirit,236.1,41.98
272,Marketa Lazarová,88.3,304.7
273,17 Girls (17 filles),205.3,250.64
274,Restless,129.3,317.81
275,Army of Darkness,14.5,112.05
276,Stephen Fry In America - New World,233.6,318.57
277,Losing Isaiah,180.6,265.72
278,La petite reine,174.1,29.26
279,Poolhall Junkies,177.1,73.86
280,Love Is a Many-Splendored Thing,17.2,312.64
281,"Treasure of the Sierra Madre, The",75.0,55.46
282,River Queen,40.2,62.68
283,Ballet Shoes,98.6,206.98
284,Little Big Man,142.0,42.99
285,City of Ghosts,66.2,171.89
286,"Villain, The",125.1,37.73
287,Be with Me,77.2,393.47
288,Foolish Wives,126.6,369.12
289,Tiny Toon Adventures: How I Spent My Vacation,230.1,265.9
290,Zeitgeist: The Movie,133.7,225.54
291,Living with Michael Jackson,119.5,392.99
292,"Sixth Sense, The",90.3,223.15
293,Land of the Dead,191.8,390.32
294,Boxcar Bertha,80.9,155.81
295,Never Sleep Again: The Elm Street Legacy,62.6,28.65
296,"Human Comedy, The",71.6,313.43
297,Freaky Friday,71.6,203.62
298,State of Play,109.2,214.5
299,War of the Worlds,169.7,320.07
300,Millennium Actress (Sennen joyû),163.4,294.43
301,Out to Sea,38.0,290.29
302,"Last Run, The",175.3,76.29
303,Charlie Chan's Greatest Case,222.5,46.12
304,Stalag 17,198.6,354.92
305,"Shine of Rainbows, A",202.1,141.59
306,Freebie and the Bean,157.5,158.38
307,"Battle Creek Brawl (Big Brawl, The)",187.5,248.01
308,"Bullet for the General, A (Quién Sabe?)",92.4,182.56
309,Jack and the Beanstalk,93.7,355.87
310,Nights in Rodanthe,140.0,284.83
311,Gainsbourg (Vie Héroïque),176.9,373.02
312,Bloody New Year,23.3,132.19
313,Hercules,202.2,41.78
314,Blind Shaft (Mang jing),68.8,378.1
315,Nico and Dani (Krámpack),79.4,291.07
316,"Boogie (Boogie, el aceitoso)",92.1,30.94
317,"Losers, The",216.2,72.7
318,Young Adam,142.5,300.13
319,On the Ropes,154.3,55.53
320,Date Night,53.1,251.22
321,Habana Blues,57.1,141.42
322,Stunt Squad,112.6,48.04
323,Broadway Danny Rose,163.6,116.72
324,Upstream,21.4,302.2
325,Year of the Comet,97.3,100.83
326,Majesteit,80.4,362.01
327,"Walk Among the Tombstones, A",72.9,359.54
328,Wing and a Prayer,218.9,132.72
329,Child's Pose,211.8,333.2
330,Delusion,226.1,342.89
331,The Rag Man,119.2,76.23
332,"Next Three Days, The",58.4,104.31
333,Right America: Feeling Wronged - Some Voices from the Campaign Trail ,169.6,29.3
334,Brave New World,236.6,198.96
335,Rubber Johnny,146.0,216.03
336,Murder by Proxy: How America Went Postal,240.2,37.15
337,"Child, The",192.6,312.09
338,Voices of Iraq,83.4,162.56
339,Hen Hop,216.1,243.57
340,"Man from Utah, The",114.9,335.24
341,"Forgotten, The",42.7,242.38
342,Salaam Bombay!,220.1,346.16
343,Hangman's House,37.9,384.78
344,Killer Klowns from Outer Space,143.0,76.63
345,Village People Radio Show (Apa khabar orang kampung),125.2,301.0
346,"Huey P. Newton Story, A",117.0,398.98
347,"Peacekeeper, The",155.5,198.62
348,"Bridge Too Far, A",100.0,284.69
349,Delirium,14.3,356.35
350,Welcome to Macintosh,233.5,70.88
351,Tully,215.0,374.96
352,Death In Love,167.5,47.38
353,Grey Gardens,228.6,130.77
354,"Sport, Sport, Sport",244.0,362.39
355,Moon Zero Two,209.3,352.55
356,Dead of Night,50.2,189.49
357,"Silent Partner, The",88.4,127.46
358,"Crying Game, The",162.9,370.88
359,"Forever, Darling",226.7,342.38
360,Under Ten Flags,230.3,96.1
361,Metal Brothers (Mammas pojkar),206.0,62.0
362,Vixen!,215.9,58.16
363,Sex Is Comedy,190.4,48.83
364,I Can't Sleep (J'ai pas sommeil),185.0,244.86
365,Clash of the Wolves,10.9,87.33
366,Butley,203.1,148.1
367,Backtrack (Catchfire),112.6,175.58
368,Rocky II,14.4,234.4
369,Porco Rosso (Crimson Pig) (Kurenai no buta),227.2,37.78
370,"Stranger's Heart, A",243.4,374.19
371,"Railway Man, The",181.1,101.47
372,Brunet Will Call (Brunet wieczorowa pora),239.4,140.78
373,"Soldier's Story, A",187.0,329.89
374,Shake It (En kort en lang),91.6,260.11
375,Westward the Women,86.0,83.38
376,Journey Beyond Three Seas,193.1,279.85
377,Bekas,216.2,107.24
378,Hysterical Blindness,59.9,26.59
379,Go Now,182.1,255.58
380,King Lear,15.8,183.59
381,"Swedish Love Story, A (Kärlekshistoria, En)",86.7,23.91
382,Chinese Box,240.3,87.31
383,Shaka Zulu: The Citadel,81.3,303.77
384,Everything Will Be Fine,133.5,55.49
385,Kill by Inches,44.3,139.44
386,Dishonored,152.7,208.52
387,"Introduction to Physics, An",219.2,340.99
388,"Story of Mankind, The",231.2,226.0
389,Forget Paris,123.4,361.54
390,Night Train,58.7,110.67
391,Cannibal! The Musical (a.k.a. Alferd Packer: The Musical),197.9,91.45
392,Two Brothers (Deux frères),50.1,25.3
393,"Good Girl, The",52.1,11.78
394,Charlie's Angels: Full Throttle,178.6,13.1
395,True Confessions,227.1,269.34
396,Rob the Mob,134.9,116.74
397,Four Sons,16.3,264.06
398,"Me You Them (Eu, Tu, Eles)",63.8,386.36
399,"Way South, The (De weg naar het zuiden)",19.3,306.3
400,"Dirties, The",193.5,202.61
401,"Adventures of Hajji Baba, The",204.7,148.05
402,Gainsbourg (Vie Héroïque),155.4,364.6
403,Go for Zucker! (Alles auf Zucker!),23.1,336.76
404,Empire of the Wolves (L'empire des loups),125.2,53.68
405,"Cadaver Christmas, A",225.2,330.74
406,Videocracy (Videocracy - Basta apparire),31.5,24.83
407,Girl with a Pearl Earring,206.4,210.67
408,Grey Gardens,113.6,90.01
409,Ju Dou,207.1,344.96
410,London,57.0,254.1
411,BFFs,128.1,210.32
412,London River,89.1,378.01
413,Documentarian,170.6,223.47
414,Crimson Tide,167.5,201.17
415,"Most Hated Family in America, The",47.3,160.4
416,Two Can Play That Game,237.9,302.73
417,Hard Ticket to Hawaii,141.7,103.77
418,"Purple Rose of Cairo, The",99.2,16.44
419,Class Reunion,132.1,344.54
420,Levitated Mass,241.1,17.32
421,Run Silent Run Deep,243.6,279.25
422,Grant Morrison: Talking with Gods,35.2,364.34
423,Radio,30.6,98.07
424,"World Unseen, The",161.2,59.35
425,"Story of Three Loves, The",20.2,258.83
426,Champagne for Caesar,207.8,218.64
427,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,129.5,185.11
428,Conan O'Brien Can't Stop,228.6,100.3
429,Valley of the Dolls,223.4,11.5
430,"Bigamist, The",53.7,31.19
431,"Fish Child, The (El niño pez)",202.7,163.67
432,The Face of Marble,112.4,337.32
433,Cirque du Soleil: Dralion,141.9,384.67
434,The Fox & the Child,235.2,82.37
435,Little City,63.3,173.83
436,John Dies at the End,144.5,229.63
437,Colonel Redl (Oberst Redl),16.6,137.32
438,"Blob, The",102.8,323.4
439,Please Don't Eat the Daisies,56.1,182.59
440,Marnie,133.2,382.67
441,Mr. Destiny,83.3,148.47
442,In Praise of Love (Éloge de l'amour),25.0,363.01
443,Paranormal Activity,17.9,297.26
444,Breakin',119.2,123.96
445,Village People Radio Show (Apa khabar orang kampung),197.4,254.04
446,"Piece of the Action, A",57.5,68.17
447,Those Who Love Me Can Take the Train (Ceux qui m'aiment prendront le train),35.6,243.46
448,In Good Company,102.5,41.03
449,"Three Brothers, The (Les trois frères)",122.5,253.18
450,Iron Man 2,170.5,281.02
451,Frogs,231.6,29.23
452,Othello,51.7,307.16
453,Triggermen,45.6,190.79
454,Born to Win,201.3,130.54
455,Fantasia 2000,181.9,242.89
456,Fiston,81.6,243.29
457,Killer Force,191.7,264.59
458,"Mugger, The (El asaltante)",194.8,178.55
459,"Fearless Freaks, The",82.0,287.29
460,Justin Bieber: Never Say Never,91.7,303.32
461,"Friends of Eddie Coyle, The",39.0,349.69
462,Fados,214.8,45.0
463,Pushover,225.5,60.34
464,Men in White,86.3,15.67
465,"Anniversary Party, The",157.6,40.85
466,Things Change,93.2,73.34
467,Spin,135.1,60.48
468,Kajaki,105.9,229.11
469,Sweet Hearts Dance,223.4,38.64
470,Went the Day Well?,174.9,307.89
471,Ciao Bella,174.1,244.52
472,"League of Ordinary Gentlemen, A",37.5,313.48
473,Get Yourself a College Girl,101.3,55.58
474,Troll,27.0,25.64
475,Ghosts of the Abyss,186.6,322.3
476,"Young Americans, The",111.4,314.32
477,1984 (Nineteen Eighty-Four),28.1,117.61
478,"Puppet Masters, The",89.6,331.49
479,My Wrongs 8245-8249 and 117,172.3,294.3
480,Kingdom of Heaven,162.0,324.36
481,Singapore Sling (Singapore sling: O anthropos pou agapise ena ptoma),244.4,67.28
482,Gory Gory Hallelujah,96.5,22.98
483,Captain America II: Death Too Soon,175.2,363.05
484,"Piece of the Action, A",218.1,73.63
485,Mysterious Island,26.0,202.85
486,Jungleground,208.8,343.63
487,Last Days,214.3,26.84
488,Shark Attack,58.9,314.33
489,"Unmarried Woman, An",13.3,212.23
490,Hogfather (Terry Pratchett's Hogfather),115.2,188.28
491,Saturday Night and Sunday Morning,124.5,306.64
492,"Two Jakes, The",233.7,319.57
493,City of Industry,49.0,392.25
494,"Last Days of Disco, The",55.0,216.02
495,Somebody Up There Likes Me,52.7,124.15
496,"Oxford Murders, The",129.6,207.42
497,Piranha,202.7,120.69
498,On a Clear Day You Can See Forever,124.3,19.56
499,"Mummy's Ghost, The",249.9,211.87
500,Cool Air,43.5,92.75
501,Gulliver's Travels,120.0,104.92
502,"Sacrifice, The (Offret - Sacraficatio)",185.3,218.81
503,"Intruder, The",67.2,83.15
504,Prophet's Prey,27.0,308.63
505,Mumblecore,191.4,46.28
506,Eyjafjallajökull,36.9,210.44
507,Shaolin Wooden Men (Shao Lin mu ren xiang),173.4,18.84
508,Het Vonnis,50.4,196.11
509,LUV,30.0,389.51
510,Bubba Ho-tep,200.2,305.03
511,30 Minutes or Less,125.4,35.5
512,Curdled,191.3,19.97
513,"Cabinet of Dr. Ramirez, The",18.4,77.19
514,Wrath of the Titans,66.4,286.2
515,Baxter,216.5,169.71
516,"Big Sky, The",33.4,274.36
517,Gigot,42.9,399.08
518,Yamla Pagla Deewana 2,164.8,109.95
519,"Fuehrer's Face, Der",80.1,166.73
520,Let the Bullets Fly,121.9,330.61
521,Onmyoji (Onmyoji: The Yin Yang Master),199.9,150.89
522,City Under Siege (Chun sing gai bei),248.1,113.05
523,Welcome Mr. Marshall (Bienvenido Mister Marshall),143.6,377.66
524,Ghost Rider: Spirit of Vengeance,185.6,392.83
525,Castle on the Hudson,25.8,292.32
526,"Return of Mod Squad, The",184.9,62.37
527,"President's Analyst, The",137.1,45.78
528,Yo Yo (Yoyo),212.6,82.68
529,"Screaming Man, A (Un homme qui crie)",90.6,103.24
530,Bloody Territories (Kôiki bôryoku: ryuuketsu no shima),168.5,254.8
531,"Plainsman, The",37.2,209.11
532,Innocence,132.0,123.5
533,Shanghai Express,82.7,267.41
534,Bitter Victory,192.3,211.2
535,Jailhouse Rock,29.9,240.8
536,Singapore Sling (Singapore sling: O anthropos pou agapise ena ptoma),60.5,193.38
537,The Dancer,186.9,251.81
538,Rammbock,103.8,170.37
539,"Perfect Family, The",237.4,397.41
540,An American Tail: The Treasure of Manhattan Island,204.2,302.1
541,Sister Act,69.8,76.45
542,So It Goes (Korsoteoria),245.0,252.09
543,"Stickup, The",170.0,232.23
544,Shining Night: A Portrait of Composer Morten Lauridsen,159.5,201.62
545,Last Days of Mussolini (Mussolini: Ultimo atto),89.2,211.7
546,Three Days (Tres días),127.3,31.3
547,"Lizzie McGuire Movie, The",21.1,98.42
548,Super Size Me,240.3,233.44
549,Swamp Water,166.6,343.69
550,Cheetah,221.3,74.87
551,"Wind Rises, The (Kaze tachinu)",210.3,119.24
552,"Bronx Tale, A",29.3,175.51
553,The Woman in Black 2: Angel of Death,98.3,396.44
554,Dr. Dolittle 3,68.6,210.01
555,Local Hero,189.0,277.61
556,"Crow: Salvation, The",178.0,252.77
557,Captains Courageous,124.9,257.62
558,In Their Sleep (Dans ton sommeil),75.2,366.28
559,On the Run,137.1,189.78
560,Joan of Paris,109.5,83.34
561,Boundin',219.1,188.08
562,"Slipping-Down Life, A",98.8,42.39
563,Blood of Redemption,184.9,303.38
564,For Greater Glory: The True Story of Cristiada,214.2,85.93
565,Leonard Cohen: I'm Your Man,44.9,329.1
566,The Fuller Brush Man,246.3,379.1
567,Hitman Hart: Wrestling with Shadows,42.5,266.8
568,Palmetto,84.3,281.59
569,Midnight,222.3,217.51
570,Pledge This!,231.7,11.76
571,Swept Away,84.0,238.87
572,Shadrach,12.4,383.2
573,Smokey and the Bandit II,35.2,94.3
574,No Blade of Grass,188.2,313.68
575,Analyze This,228.6,224.19
576,Obsessed,156.3,107.61
577,97 Percent True,147.0,62.96
578,"Phantom of the Opera, The",208.1,300.86
579,Starsky & Hutch,85.2,171.48
580,All Together,130.4,313.79
581,1984 (Nineteen Eighty-Four),13.9,13.94
582,In Your Dreams (Dans tes rêves),70.9,124.73
583,"Father of My Children, The (Le père de mes enfants)",145.1,391.59
584,Nothing to Declare (Rien à déclarer),220.7,310.49
585,Doctor Zhivago,138.6,185.68
586,Growing Pains,80.2,69.17
587,Virgin Stripped Bare by Her Bachelors (Oh! Soo-jung),75.5,247.25
588,"Deep End of the Ocean, The",15.8,303.12
589,Magic,217.0,165.86
590,Decoys,148.1,296.22
591,Anything Else,157.3,292.88
592,Follow the Fleet,195.0,280.14
593,Leprechaun,77.1,80.52
594,Enemy at the Gates,220.3,16.48
595,Lorenzo's Oil,249.2,27.09
596,Game of Death II (a.k.a. Tower of Death) (Si wang ta),200.9,365.04
597,Upstairs and Downstairs,246.0,330.46
598,When Darkness Falls (När mörkret faller),115.3,80.84
599,Rembrandt,108.5,393.72
600,My Father the Hero,97.6,115.68
601,"Over-Eater, The (L'outremangeur)",90.6,289.88
602,"Legally Blonde 2: Red, White & Blonde",19.4,219.83
603,Destiny (Al-massir),91.2,389.45
604,Asylum,40.2,50.03
605,Diplomacy (Diplomatie),75.2,49.13
606,Deterrence,59.7,276.05
607,Printed Rainbow,227.4,290.21
608,Carmen,162.3,226.51
609,Age of Dinosaurs,161.2,235.82
610,Z,68.5,322.25
611,Let's Get Harry,211.6,186.73
612,Rich and Famous (Gong woo ching),204.8,375.94
613,"Dark Hours, The",100.6,183.83
614,Rambo (Rambo 4),131.5,320.89
615,Chapter 27,212.5,328.96
616,Unspeakable Acts ,84.9,78.49
617,Steal a Pencil for Me,163.2,148.0
618,"RKO Production 601: The Making of 'Kong, the Eighth Wonder of the World'",221.4,262.32
619,"Sunday in the Country, A (Un dimanche à la campagne)",41.7,60.05
620,Please Vote for Me,102.3,82.74
621,By the Law,64.2,386.99
622,Scars of Dracula,148.0,21.37
623,Vincent Wants to Sea (Vincent will meer),79.9,203.15
624,On Any Sunday,93.2,249.87
625,Day of the Dead 2: Contagium,227.9,370.38
626,The Dependent,164.3,54.22
627,Tim's Vermeer,59.8,322.8
628,Magic Hunter (Büvös vadász),238.8,310.95
629,Everlasting Moments (Maria Larssons eviga ögonblick),105.6,153.7
630,"Central Park Five, The",201.1,113.29
631,Hud,239.6,385.4
632,Monster,249.7,306.51
633,Beloved (Les bien-aimées),33.9,70.26
634,Frequency,20.0,333.32
635,Things We Lost in the Fire,174.3,251.55
636,"House of the Seven Gables, The",140.4,260.76
637,Take Me Home Tonight,30.8,78.98
638,Accepted,148.7,360.26
639,"Godfather, The",32.5,335.45
640,Too Hot to Handle,89.1,399.55
641,Kung Fu Panda,154.7,295.16
642,"Memory Keeper's Daughter, The",112.3,75.47
643,Town & Country,54.7,394.19
644,Parker,132.2,252.31
645,"Story of a Cheat, The (Roman d'un tricheur, Le)",59.9,175.76
646,She's So Lovely,132.9,152.88
647,Duets,118.6,316.97
648,"Diary for Timothy, A",63.5,136.89
649,Yesterday Girl (Abschied von gestern - Anita G.),102.8,233.06
650,"Big Bird Cage, The",150.9,128.2
