game_title,game_size_gb,game_price_pln
Crooklyn,177.3,83.63
"New Daughter, The",24.3,333.82
"America, America",147.4,351.5
Forks Over Knives,92.7,320.18
When Harry Met Sally...,89.8,259.29
Tokio Baby,241.3,361.77
Grumpy Cat's Worst Christmas Ever,58.3,314.23
"Lady, The",156.9,373.79
I'm Going Home (Je rentre à la maison),195.1,34.55
Carolina,62.3,275.45
Gore Vidal: The United States of Amnesia,95.0,252.72
Ice Age 2: The Meltdown,40.6,290.63
Moomins on the Riviera (Muumit Rivieralla),17.7,175.79
"Assault, The (L'assaut)",17.4,48.31
Black Girl (La noire de...),59.5,241.4
Comfort and Joy,95.0,353.12
"Going Places (Valseuses, Les)",134.3,336.8
Texasville,189.0,353.2
Sabotage,128.0,91.03
DeadHeads,96.4,222.65
Line of Sight,61.2,370.32
Paul,38.0,273.9
City Hall,230.8,285.88
Robin Hood,173.1,317.25
Susan Slept Here,71.8,355.62
"Spider Baby or, The Maddest Story Ever Told (Spider Baby)",142.7,19.98
"Signal, The",236.8,178.31
Tell Them Willie Boy is Here,54.6,292.42
Killing Them Softly,157.6,27.52
My First War,103.3,52.98
"Song of Bernadette, The",240.7,145.67
"Love, Honour and Obey",118.4,336.55
Seeing Other People,130.7,179.97
"Perfect Circle, The (Savrseni krug)",63.4,19.43
"Hand That Rocks the Cradle, The",211.7,14.63
Fallen Angels (Duo luo tian shi),176.4,351.64
Firecreek,166.6,10.7
"Haunting in Connecticut 2: Ghosts of Georgia, The",18.8,139.17
Together (Tillsammans),215.3,223.94
Backbeat,175.6,361.7
Bluebeard (Barbe-Bleue),94.2,280.61
Doodlebug,43.3,361.91
Picture This,243.3,249.99
Mad Love (Juana la Loca),237.3,291.05
Flipper,147.3,107.2
"Life is to Whistle (Vida es silbar, La)",190.2,357.15
Village of the Giants,124.5,48.31
Katatsumori,156.4,273.1
Alive,211.5,152.27
Enough Said,108.3,193.14
Caesar Must Die (Cesare deve morire),109.0,204.46
Tropic Thunder,52.0,91.65
Small Time Crooks,103.4,32.58
Game of Chance (Onnenpeli),65.8,15.56
Anthony Adverse,40.8,295.7
Barry Munday,47.0,23.53
Shopping,37.3,312.5
Dragon Gate Inn (Dragon Inn) (Long men kezhan),142.0,373.84
Priest,74.1,155.12
The Baby Maker,202.8,59.9
William Shakespeare's A Midsummer Night's Dream,54.9,322.92
Admiral,69.4,290.25
Eaten Alive,25.2,300.51
Audition (Konkurs),153.0,346.27
Bad Taste,161.1,389.86
Fandry,185.2,244.65
Boy Meets Girl,223.9,376.94
"Cimarron Kid, The",191.7,327.22
"Greystoke: The Legend of Tarzan, Lord of the Apes",77.7,396.27
5 Centimeters per Second (Byôsoku 5 senchimêtoru),207.4,217.13
Confetti,195.0,258.52
Haunted House,153.4,217.35
Grassroots,240.3,383.78
Noah's Ark,204.6,145.68
"Motivation, The",87.9,206.24
Marwencol,194.1,174.88
Coming Out,215.8,379.88
"Ambassador, The (Ambassadøren)",102.2,79.66
Shallow Hal,223.5,267.81
Contact,50.3,63.26
Alaska,173.9,25.64
Educating Rita,133.4,37.58
"Stendhal Syndrome, The (Sindrome di Stendhal, La)",22.8,306.39
"Fall of the House of Usher, The (Zánik domu Usheru)",196.2,249.85
Seas Beneath,106.7,111.75
Heroes for Sale,30.1,233.77
District 13: Ultimatum (Banlieue 13 - Ultimatum),146.6,306.7
Bravo Two Zero ,215.7,332.49
Bury My Heart at Wounded Knee,168.8,114.46
"Secret of NIMH 2: Timmy to the Rescue, The",119.6,81.73
Samson & Sally,42.0,356.93
Zombie and the Ghost Train (Zombie ja Kummitusjuna),211.7,115.61
Liliom,220.8,296.38
Memoirs of a Geisha,225.4,86.62
Mr. Blandings Builds His Dream House,136.4,191.47
Breaking and Entering,16.9,261.58
Night Nurse,127.1,97.72
Poison,239.0,377.97
Hercules in the Underworld,149.0,327.22
Vampire Effect (The Twins Effect) (Chin gei bin),198.0,295.76
Queen of Montreuil,226.3,352.81
Strait-Jacket,29.9,138.32
Kronos (a.k.a. Captain Kronos: Vampire Hunter),179.5,312.41
"MatchMaker, The",90.9,108.43
"Mystery of the Third Planet, The (Tayna tretey planety)",155.9,250.86
Frenchmen 2,92.1,23.03
Eddie,197.9,76.35
My Girl 2,200.9,185.02
World War Z,185.4,340.41
My Life,209.7,153.43
Hi Diddle Diddle,45.3,155.67
Fierce Light: When Spirit Meets Action,117.5,287.94
After School Special (a.k.a. Barely Legal),208.8,184.48
Little Nikita,197.4,226.41
Saved!,164.1,295.32
"Art of Dying, The (El Arte de Morir)",108.1,204.18
Harem,44.2,269.53
High Art,141.8,375.43
Dark City,86.8,219.13
Ploy,43.7,309.57
Bring It On,83.3,263.15
Invictus,143.3,321.83
"You're a Good Man, Charlie Brown",36.4,183.53
Millie,228.0,342.41
Helsinki Napoli All Night Long,99.4,264.26
Vares: Private Eye (Vares - Yksityisetsivä),50.8,276.26
One-Eyed Monster,72.6,141.11
Dr. Jekyll and Ms. Hyde,34.4,315.34
Fight Club,27.1,144.68
"Edge of Heaven, The (Auf der anderen Seite)",77.3,203.47
"Naked Gun: From the Files of Police Squad!, The",225.4,222.48
Tokyo Twilight (Tôkyô boshoku),41.5,230.83
"Relic, The",47.3,269.83
Brief Encounter,164.3,313.72
Raja,78.3,35.41
Mars Attacks!,107.6,287.42
I Can't Sleep (J'ai pas sommeil),156.9,333.42
Crazy/Beautiful,243.2,214.63
Sleeping with Other People,86.2,123.71
Preston Sturges: The Rise and Fall of an American Dreamer,95.9,363.89
Table No.21,107.2,276.54
For Those in Peril,135.7,28.78
Zindagi Na Milegi Dobara,149.4,232.32
Godzilla: Tokyo S.O.S. (Gojira tai Mosura tai Mekagojira: Tôkyô S.O.S.),49.7,268.16
Bang,99.9,109.44
"Christmas Story 2, A",28.1,387.86
To Hell and Back,195.8,273.25
"Prowler, The (a.k.a. Rosemary's Killer) (a.k.a. The Graduation)",19.2,131.54
"Baron Blood (Orrori del castello di Norimberga, Gli)",65.2,159.38
Fantasia 2000,119.5,60.23
Sister Act 2: Back in the Habit,197.5,342.22
"That Day, on the Beach (Hai tan de yi tian)",206.0,368.54
Louisiana Story,56.2,127.55
Louis C.K.: Shameless,139.7,72.19
4,221.4,263.58
"Cadaver Christmas, A",187.3,290.35
"Circle, The (Dayereh)",168.0,204.27
"Factory, The",225.5,116.29
"Proprietor, The",67.1,212.63
From Dusk Till Dawn,118.5,362.57
LOL,175.1,174.17
Sex Drive,88.1,203.67
All Tomorrow's Parties,155.7,312.59
Hôtel du Nord,50.9,197.27
"Big Country, The",115.7,183.76
9/11,64.0,248.17
Homicide,224.2,21.9
"Narrow Margin, The",192.7,211.78
"Adventures of Rocky and Bullwinkle, The",243.4,394.31
"Frozen Ghost, The",218.1,296.37
Animal Farm,19.3,324.69
Babylon 5: The Lost Tales - Voices in the Dark,172.1,52.52
Police Academy 5: Assignment: Miami Beach,179.5,140.0
"In-Laws, The",143.6,239.29
"River, The",143.1,364.42
If Footmen Tire You What Will Horses Do?,149.3,291.95
"Moderns, The",161.2,342.15
"O-Bi, O-Ba - The End of Civilization (O-bi, O-ba - Koniec cywilizacji)",137.8,105.85
Big Shots,239.7,255.75
Portrait in Black,46.5,214.06
"Simpsons Movie, The",180.4,134.1
"Soviet Story, The",150.7,132.44
Xtro 2: The Second Encounter,249.6,312.47
The Corsican Brothers,45.3,396.8
"Muertos, Los",163.7,255.6
"Sumo Do, Sumo Don't (Shiko funjatta)",129.2,97.97
Interior. Leather Bar.,212.3,386.54
Roberta,98.7,87.33
"Face of Another, The (Tanin no kao)",233.2,47.53
Dying Room Only,127.4,300.33
Waiter (Ober),113.1,229.48
Thirty-Five Something (Tout pour plaire),236.6,394.76
9500 Liberty,144.2,320.18
Scarecrows,25.4,302.87
Pericles on 31st Street,211.6,303.57
"Dancing Masters, The",182.3,193.07
Waterboys,71.2,188.1
Poor Us: An Animated History of Poverty,33.0,231.44
Winchester '73,127.1,240.15
All Night Long,226.7,65.12
"Associate, The",163.6,296.54
Daisy Kenyon,137.6,378.82
Chronicle of a Disappearance,54.0,339.55
Visit to a Small Planet,87.2,126.79
Assa,60.8,334.69
Monsters vs. Aliens,132.1,329.67
"Capture of Bigfoot, The",165.4,277.06
Austenland,239.9,30.04
Almost Heroes,87.4,376.67
The Very Thought of You,226.4,278.26
8MM 2,17.1,186.83
"Trial of Joan of Arc, The (Procès de Jeanne d'Arc)",202.2,32.83
"Breed Apart, A",27.5,342.42
American Psycho II: All American Girl,52.2,373.3
Skeletons,162.0,269.9
"Late Show, The",235.3,44.71
Rosa Luxemburg,33.3,115.04
Top Five,161.6,244.24
Cockfighter,18.4,17.5
2 Guns,151.9,262.38
King Cobra,230.5,319.32
Du côté de la côte,169.2,220.13
To Sir with Love,76.7,93.32
Five Minutes of Heaven,126.7,364.47
In Praise of Love (Éloge de l'amour),226.4,389.61
Frisco Jenny,231.7,113.18
Back to School with Franklin,65.0,288.06
British Intelligence,25.2,394.67
Mayor of the Sunset Strip,97.3,125.82
Table No.21,35.2,273.07
"Shepherd: Border Patrol, The",205.3,94.97
Cargo,36.1,359.82
Behind the Screen,110.0,28.83
Kolya (Kolja),100.5,231.3
"Excuse Me Darling, But Lucas Loved Me",134.4,139.69
Cleopatra,23.1,172.46
"Crazy Class Wakes Up, The (Hababam sinifi uyaniyor)",74.8,46.77
Homer & Eddie,46.4,255.39
Wild Hearts Can't Be Broken,22.7,397.18
Town & Country,90.5,307.52
Begotten,239.2,295.99
Footloose,195.7,166.71
Wanted! (Nachbarinnen),169.3,208.24
Windtalkers,18.0,218.16
Rhinestone,242.2,78.8
Alaska,232.9,24.99
Comin' at Ya!,97.9,181.11
"SpongeBob SquarePants Movie, The",161.0,398.69
Leaving Normal,148.9,327.67
Ice Bound,16.2,287.39
Emmet Otter's Jug-Band Christmas,227.5,98.77
Dracula (Dracula 3D),48.1,87.04
"Luna, La",156.1,262.81
"Catered Affair, The",208.1,172.22
Computer Chess,51.6,300.37
"Boxtrolls, The",183.0,328.1
Phantom of the Megaplex,195.9,325.08
Zelary,84.0,186.12
Diary of a Wimpy Kid,215.1,286.47
Directed by John Ford,97.9,155.59
Dick Tracy vs. Cueball,13.7,287.35
In A Day,142.1,167.11
I Walked with a Zombie,175.0,80.57
The Emperor of California,197.6,73.66
You Will Be My Son (Tu seras mon fils),44.9,44.89
Padre padrone,144.8,80.54
"Bûche, La",155.2,42.04
"Boys in the Band, The",61.5,183.24
Wild Boys of the Road,114.2,353.56
"Great Beauty, The (Grande Bellezza, La)",34.9,153.5
Rollerball,101.4,117.71
Live-In Maid (Cama adentro),226.8,244.02
Eye of the Dolphin,165.8,117.5
Batch '81,124.3,215.39
Dangerous Liaisons,233.2,149.23
What Lies Beneath,52.8,59.22
"Beginner's Guide to Endings, A",149.5,35.86
Saving Face,141.5,224.36
"Boy Friend, The",177.3,41.41
Naked Fear,147.0,376.78
Eloise at Christmastime,125.3,286.41
"Täältä tullaan, elämä!",43.0,222.72
My Boyfriend's Back,124.9,71.03
"Edward, My Son",240.9,391.37
Officer Down,150.4,54.31
"Eila, Rampe and Likka",192.4,144.65
"Green Hornet, The",77.4,131.3
Stranger on the Third Floor,164.4,354.7
Johnny Suede,158.5,79.47
"Very Natural Thing, A",218.3,147.51
"Terror Within, The",211.0,316.51
Tribulation,52.2,113.91
"Sexo, Amor e Traição",223.3,256.21
Wichita,68.1,345.5
"Long Ships, The",196.3,293.0
"Bachelor Weekend, The",163.3,254.23
Plenty,86.5,373.81
"Rite, The",185.6,330.67
Splash,102.2,381.59
Save Me,22.9,18.8
Gervaise,147.7,286.6
"Soviet Story, The",147.1,109.77
"Beautiful Country, The",86.7,201.97
"Adventures of Pluto Nash, The",224.0,108.58
Mud,189.2,223.11
"Ugly Truth, The",236.4,286.73
Saratoga,59.1,124.64
Torments (El) (This Strange Passion),105.8,168.43
"King of Masks, The (Bian Lian)",151.6,225.52
Claudine,230.9,353.49
Suicide Kings,73.9,315.86
Thunderheart,43.8,187.41
Waiting for Guffman,83.7,332.93
Living 'til the End,53.1,167.42
In Too Deep,201.3,201.42
In the Cut,120.7,174.05
Bowery at Midnight,185.6,154.18
Sukiyaki Western Django,208.8,161.78
Tukkijoella,123.2,160.91
New York: A Documentary Film,246.3,119.27
Rango,198.5,267.54
Three (a.k.a. 3 Extremes II) (Saam gaang),210.0,270.93
Just Bea (Bare Bea),12.0,163.98
Flesh,41.1,100.0
61*,37.6,387.45
Pardon Us,108.8,148.39
"Puppet Masters, The",235.1,212.23
"Stickup, The",155.3,27.13
Vampires Suck,50.8,227.0
Over Your Cities Grass Will Grow,40.1,161.69
Faith School Menace?,219.9,24.69
The Four Feathers,198.7,319.04
Wrong,96.8,145.28
Omega Doom,19.7,271.8
Price Check,68.1,31.88
The Two Policemen,111.8,150.02
Looking for Eric,182.8,296.62
"Last of Mrs. Cheyney, The",221.5,278.36
Short Night of the Glass Dolls (La corta notte delle bambole di vetro),121.5,163.17
One Lucky Elephant,237.7,284.39
Loose Cannons,158.9,183.37
Mademoiselle Chambon,139.6,15.31
Woman in the Meadow (Nainen kedolla),166.4,210.6
Cult of the Cobra,94.1,185.4
Pontiac Moon,246.5,135.08
"Barber of Siberia, The (Sibirskij tsiryulnik)",33.4,82.09
Yonkers Joe,110.0,39.79
American Gothic,165.9,341.04
Michael Jackson's This Is It,38.3,183.93
How to Be a Serial Killer,221.6,398.16
Strangers When We Meet,84.2,25.62
"Hugh Hefner: Playboy, Activist and Rebel",229.2,183.59
The Legend of Mor'du,43.5,353.72
The Sex and Violence Family Hour,213.4,151.54
"Two Women (Ciociara, La)",235.6,353.66
"2013 Rock and Roll Hall of Fame Induction Ceremony, The",192.4,398.16
Our Town,41.4,222.96
Hangman's Curse,142.4,277.69
Cannonball,107.2,47.33
Two for the Seesaw,156.5,210.21
City Streets,110.6,275.49
Sightseers,142.3,286.45
Suburbia,99.8,286.83
Madame Sin,61.4,221.92
"Wrath of God, The",205.8,16.06
Interstate 60,161.0,46.86
Sasquatch: The Legend of Bigfoot,131.8,45.46
Penny Dreadful,17.3,79.75
Born Yesterday,98.4,155.84
Happy Campers,167.3,194.82
"Great White Hype, The",224.3,307.9
Ju-on: White Ghost,28.4,307.12
Sabrina,57.0,358.05
"Bank, The",243.9,21.47
Castle on the Hudson,138.8,226.1
Paris Is Burning,142.9,50.83
House of Fools,66.9,78.05
Honey (Miele),140.2,259.58
Take Out,23.2,299.33
Lego: The Adventures of Clutch Powers,106.2,13.79
Sister My Sister,98.1,202.24
Malibu High,164.0,267.76
Hellraiser,170.7,249.41
Moving Alan,104.2,73.8
Backstairs (Hintertreppe),28.0,144.3
Men with Guns,133.1,33.64
"Macbeth (a.k.a. Tragedy of Macbeth, The)",35.6,365.13
Winnie the Pooh and the Honey Tree,15.2,150.39
"Black Windmill, The",177.1,51.36
"Kingdom, The",82.2,398.95
"Frankenstein Syndrome, The",188.0,308.78
Ricky Gervais: Out of England - The Stand-Up Special,249.9,232.61
Commander Hamilton (Hamilton),81.6,138.25
Vacancy,136.9,108.3
Spartan,195.0,214.52
Tuareg: The Desert Warrior (Tuareg - Il guerriero del deserto),174.2,143.58
Romasanta: The Werewolf Hunt,74.5,134.61
Walk All Over Me,17.5,92.21
Paranormal Activity 3,150.8,108.01
Crimson Tide,85.4,321.0
Bridge of Dragons,98.7,34.46
Black Roses ,86.5,199.8
Airport 1975,99.3,226.84
The Mystery of the Leaping Fish,149.3,28.3
Final Destination 3,174.9,17.31
The Fearless Four,187.0,390.56
"Devil Bat, The",182.3,340.99
If You Love (Jos rakastat),51.1,381.47
On the Riviera,163.8,24.08
Livid (Livide),112.7,221.64
Secret Admirer,55.1,373.84
Weekender,226.6,115.67
"Nature of Existence, The",74.7,125.39
Over Her Dead Body,40.5,312.52
10.5,203.2,344.91
Zombeavers,169.7,374.74
Stitch! The Movie,231.6,291.87
Sam Peckinpah's West: Legacy of a Hollywood Renegade,225.4,250.68
Bambi Meets Godzilla,74.1,62.04
"Great Santini, The",22.1,317.78
Bitter Sugar (Azúcar amarga),239.5,173.41
Back to Bataan,136.5,308.54
Typhoon (Tae-poong),81.6,15.39
"Purple Rose of Cairo, The",202.6,153.45
Brian's Song,40.2,132.36
"Prisoner of Zenda, The",180.8,55.48
Resident Evil: Extinction,17.3,206.52
"Story Written with Water, A (Mizu de kakareta monogatari)",164.8,144.34
Five Star Final,50.3,272.14
Riot in Cell Block 11,92.3,95.8
Saving Grace,31.3,183.5
"Care Bears Movie, The",110.8,345.29
"Black Magic Rites & the Secret Orgies of the 14th Century (Riti, magie nere e segrete orge nel trecento...)",55.1,304.92
Blackmailed,18.0,127.56
Batman,120.4,73.75
"Year One, The (L'an 01)",111.4,351.26
You Ain't Seen Nothin' Yet (Vous n'avez encore rien vu),69.6,334.04
"Bird with the Crystal Plumage, The (Uccello dalle piume di cristallo, L')",50.1,36.52
"Slugger's Wife, The",25.6,30.81
Katzelmacher,69.5,210.93
The Gift of Love,24.4,56.27
"Prowler, The",102.8,81.41
Night of the Demons 2,214.8,191.52
Brüno (Bruno),170.5,57.09
Children of the Corn V: Fields of Terror,53.4,208.48
Mi Amigo Hugo,209.8,82.42
Mom's Night Out,128.0,331.91
Rhino Season (Fasle kargadan) ,170.2,249.22
HE Who Gets Slapped,68.9,115.56
Anything for Her (Pour elle),28.1,53.9
New World (Shin-sae-gye),183.2,195.0
"New Wave, A",67.1,211.4
Clash of the Titans,225.5,124.63
Sleepless in Seattle,174.2,326.43
Soul Men,98.8,60.67
"Sailor Who Fell from Grace with the Sea, The",62.5,346.51
Made in America,133.6,175.95
Saw IV,222.8,286.67
16 Acres,181.0,43.34
Pontypool,96.6,311.86
Lost Horizon,178.2,22.7
Amazonia,100.0,292.35
Love with the Proper Stranger,64.4,338.4
"Runaways, The",122.9,280.83
"Bachelor Weekend, The",49.8,252.88
"Perfect Day, A (Un giorno perfetto)",177.7,399.81
"Mariachi, El",227.8,367.0
Jackass 3D,76.9,261.37
Hour of the Wolf (Vargtimmen),50.5,184.47
Joe the King,241.9,344.77
Freebie and the Bean,125.4,245.16
Death of a Salesman,98.2,48.29
"Colors of the Mountain, The (Los colores de la montaña)",21.3,43.8
"School of Flesh, The (École de la chair, L')",125.6,127.03
Trauma,153.3,52.09
Highway ,20.4,149.68
"Shadow Riders, The",43.7,190.01
"Yearling, The",76.8,362.84
Black Dragons,110.2,192.98
Beauty #2,185.7,391.86
Daughter of the Nile (Ni luo he nu er),109.5,318.55
House on Haunted Hill,28.4,164.81
Jarhead,226.2,52.72
Visit to a Small Planet,63.9,213.51
Decampitated,91.1,184.14
Up the Yangtze,140.9,18.82
"Lawless Heart, The",189.2,242.51
Pulp,29.0,21.22
"Christmas Carol, A",36.8,239.14
Deadtime Stories,236.1,179.97
The Nativity,217.0,71.03
Rush Hour 3,113.8,211.04
Two Can Play That Game,25.8,16.17
The Trial of Lee Harvey Oswald,114.5,198.27
Alpha and Omega,33.3,122.25
Body Fat Index of Love,138.6,110.3
Everything Put Together,52.4,69.69
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La)",235.2,13.82
First a Girl,86.5,324.39
Helter Skelter,239.1,186.47
"Cigarette Girl of Mosselprom, The (Papirosnitsa ot Mosselproma)",44.0,288.32
Glory Road,185.7,334.8
Crush,108.3,315.42
Sarafina!,133.2,363.64
Brainscan,221.3,399.94
Mulan,65.7,257.43
Blue Sunshine,23.7,352.43
Open Grave,186.9,356.32
Apache Country,91.6,19.66
Violeta Went to Heaven (Violeta se fue a los cielos),69.0,366.03
Harriet Craig,165.1,174.76
Viva Max!,94.8,376.26
"Icicle Thief, The (Ladri di saponette)",186.4,37.11
Endurance,208.0,203.86
Dinosaurus!,224.7,217.04
Mar Baum,177.3,241.07
"Simple Life, A (Tao jie)",203.8,201.44
At the Circus,60.0,40.92
Bad Chicken,198.7,345.37
Hedd Wyn,13.2,291.19
Tuareg: The Desert Warrior (Tuareg - Il guerriero del deserto),233.4,16.88
Voodoo Dawn,85.3,302.11
Don Q Son of Zorro,20.8,118.62
House Party,240.8,75.5
Carmen Jones,222.0,329.16
"Therese Raquin (a.k.a. Adultress, The)",58.1,109.11
"Laramie Project, The",52.5,139.85
Moonstruck,38.2,115.94
"Hijacking Catastrophe: 9/11, Fear & the Selling of American Empire",109.6,237.84
Odette Toulemonde,124.9,378.85
Unfaithful,169.3,37.09
Severance,211.4,161.16
Densha otoko (Train Man),111.4,205.23
Ernest Goes to Jail,205.0,161.33
Closet Land,226.3,364.02
"Hollywood Revue of 1929, The",88.6,236.15
I Accuse,16.4,291.86
Bernard and Doris,223.7,369.17
Behind the Candelabra,214.8,243.66
The Thief,130.3,359.11
Traces of Red,226.6,214.62
Stephen Fry In America - New World,68.4,396.39
Twilight's Last Gleaming,47.5,48.37
Kauwboy,225.4,94.34
Black Moon,176.1,156.47
Lamerica,119.3,366.79
"Guyver, The",44.1,37.56
In the Name of the Father,132.4,17.96
Dollman,118.9,399.77
Your Sister's Sister,49.5,110.92
Bridget Jones's Diary,72.2,130.13
Lord of Illusions,34.5,364.71
I Knew It Was You: Rediscovering John Cazale,141.6,352.12
Peyton Place,160.8,63.16
Two Loves,38.7,316.06
Olive Kitteridge,155.6,268.3
7th Heaven (Seventh Heaven),79.5,362.92
Crossfire Trail (Louis L'Amour's 'Crossfire Trail'),48.8,112.95
This Movie Is Broken,242.8,92.72
Dying Breed,189.8,191.41
Cobra Woman,66.8,181.52
Feast of Love,170.6,363.88
Riders of the Purple Sage,31.5,122.32
Billy Madison,123.8,75.55
Dream Team 1935,228.6,324.36
Defending Your Life,105.0,87.47
I'm Not Scared (Io non ho paura),118.9,307.35
Film About a Woman Who...,125.7,388.3
Dead Man Down,17.9,376.0
Accident on Hill Road,67.8,42.8
Tracker,186.9,314.66
"Shout, The",44.3,111.63
Heaven,237.5,265.65
Silent Running,136.0,266.01
"Witching and Bitching (Brujas de Zugarramurdi, Las)",232.9,327.68
Dreamchild,108.9,52.12
"Small Town in Texas, A",39.4,127.72
Black Rose Ascension (Kurobara shôten),240.3,363.88
FBI: Frikis buscan incordiar,199.6,260.8
Men of War,176.0,60.02
Summer in February,82.3,137.72
Viimeiset rotannahat ,75.0,321.93
"Egyptian, The",207.4,372.88
"""Great Performances"" Cats",208.6,325.97
P.S. I Love You,29.9,396.15
"Secret of Santa Vittoria, The",146.2,286.68
"Item, The",157.9,374.3
"I Was Born, But... (a.k.a. Children of Tokyo) (Otona no miru ehon - Umarete wa mita keredo)",99.0,285.62
The Power and the Glory,75.7,244.38
"I, Madman",243.3,121.59
Murder on the Orient Express,108.5,46.81
Cazuza - O Tempo Não Pára,103.3,262.93
Back to the Future Part III,246.8,10.74
Ca$h,219.7,303.49
"Glass Web, The",137.3,148.73
Underworld,59.2,159.99
Call Me Madam,177.2,230.23
Guilty of Romance (Koi no tsumi) ,212.2,58.39
Iron Man,122.3,312.7
Around the Bend,234.2,309.51
"Goalie's Anxiety at the Penalty Kick, The (Die Angst des Tormanns beim Elfmeter)",189.4,224.47
The Man Who Loved Yngve,104.1,115.05
Dreamchild,148.9,218.97
Katt Williams: The Pimp Chronicles Pt. 1,215.0,100.3
Jive Turkey,224.6,178.68
Nativity 2: Danger in the Manger!,151.2,324.08
Street Trash,234.2,388.54
Million Dollar Arm,47.7,267.18
Bathory,248.9,373.93
"Time of the Wolf, The (Le temps du loup)",241.8,265.63
Gamera vs. Viras ,178.5,194.73
Perez.,100.6,301.98
"Competition, The",78.4,76.14
Leave It to Beaver,182.0,75.79
MGS: Philanthropy,193.3,184.44
American Virgin,78.9,298.76
"Letter, The",235.0,245.77
Behind the Burly Q: The Story of Burlesque in America,234.6,117.38
In Darkness,214.3,165.99
Phantasm III: Lord of the Dead,68.9,192.86
Porky's,94.5,70.86
Aspen,102.2,263.78
Formula 51,92.2,336.85
The Violent Enemy,177.5,26.56
"Cincinnati Kid, The",57.8,147.52
Hollywood Sex Wars,65.9,57.52
Flying Tigers,213.4,237.62
"Castle of Sand, The (Suna no utsuwa)",195.7,360.51
"Secret World of Arrietty, The (Kari-gurashi no Arietti)",206.6,215.02
We Cause Scenes,59.8,165.69
"Mudlark, The",37.2,27.56
"Law, The (a.k.a. Where the Hot Wind Blows!) (Legge, La)",78.3,329.81
Dorian Gray,231.3,65.54
Man Of The Moment,157.2,265.08
"Magic Gloves, The (Los guantes mágicos)",196.9,348.1
Street Scenes ,191.9,27.56
"Gaucho, The",135.6,233.04
"If I Want to Whistle, I Whistle (Eu cand vreau sa fluier, fluier)",117.2,223.37
"Cave of the Yellow Dog, The",189.7,238.35
Plain Dirty (a.k.a. Briar Patch),238.1,15.7
Sasayaki (a.k.a. Moonlight Whispers) (Gekkô no sasayaki),197.3,137.44
Above Suspicion,50.8,166.0
Jeepers Creepers 2,30.5,54.24
I'll Be Home For Christmas,37.5,316.6
Wild Horses (Caballos salvajes),230.3,336.93
This So-Called Disaster,194.2,175.82
Red Road,34.8,227.03
3 Bad Men,133.0,282.85
Fierce Light: When Spirit Meets Action,237.6,19.95
'Til There Was You,114.3,367.05
"Price of Forgiveness, The (Ndeysaan)",107.0,290.56
Harry Potter and the Prisoner of Azkaban,142.5,328.32
"Go-Between, The",185.1,231.09
National Security,247.9,196.92
Bread and Chocolate (Pane e cioccolata),53.4,202.27
Barenaked in America,247.3,263.76
"Pirate, The",192.8,198.49
Cloverfield,172.3,212.37
Clouds of Sils Maria,95.1,399.8
Jules and Jim (Jules et Jim),162.2,374.7
"Foreign Affair, A (2 Brothers & a Bride)",204.1,293.26
Kiss of the Spider Woman,115.1,256.13
Dating the Enemy,48.7,58.31
"Third Wave, The (Tredje vågen, Den)",105.1,146.99
Romeo and Juliet,60.8,117.47
